,symbol,rank_metric,longName,category,investment_amount,overlap,Composite Score
0,SPLG,16.95530621705048,SPDR Portfolio S&P 500 ETF,SPCG,4500.0,0.001,4.513014163109273
1,OEF,16.988572008250063,iShares S&P 100 ETF,GROW,3000.0,0.001,4.586938143552785
2,QUAL,17.228510321351585,iShares MSCI USA Quality Factor ETF,QUAL,3000.0,0.001,5.120134394889502
3,SMH,16.244338695983277,VanEck Semiconductor ETF,NSPAG,1500.0,0.001,2.9330863385154866
4,SOXX,,iShares Semiconductor ETF,NSPAG,1500.0,,2.068288024946066
5,IDMO,17.837190479667157,Invesco S&P International Developed Momentum ETF,ONEHM,750.0,0.001,6.472756968924108
6,CASH,0,Unallocated Cash,CASH,750.0,0.0,0.0
