,symbol,longName,rank_metric,15 day,1Y,category,investment_amount,Max60,Min60
0,SPY,SPDR S&P 500 ETF Trust,11.418059452821016,1.4702290360378851,32.13968781957905,STBL,4500.0,515.1793212890625,465.8326416015625
1,IVW,iShares S&P 500 Growth ETF,9.58134683853394,1.2797358017090654,37.036190275806554,GROW,3000.0,83.97000122070312,72.87000274658203
2,QUAL,iShares MSCI USA Quality Factor ETF,9.208307851260612,1.4169873630865712,37.16271144040237,QUAL,3000.0,163.55999755859375,144.6199951171875
3,QQQ,Invesco QQQ Trust,10.739727578430907,-0.027332495146083914,43.746683427183406,NSPAG,2250.0,445.6099853515625,396.2799987792969
4,IMTM,iShares MSCI Intl Momentum Factor ETF,8.56260833175629,3.108005034886547,27.473513759090697,INTLHM,1500.0,38.7599983215332,33.34000015258789
5,SMH,VanEck Semiconductor ETF,13.209526883180262,3.7957211776646167,73.70329944273645,SECTR,750.0,234.1699981689453,164.99000549316406
