,symbol,investment_amount,rank_metric,5_day,251_day,category,situation,trend,forecast
0,QQQ,3548.0,8.377781039166674,2.8898271574160828,44.90696568197858,AGRSV,neutral,up,bull
1,IYW,3679.0,8.688418338553237,2.8613014814007793,51.98506122409348,TECH,neutral,up,bull
2,SMH,6356.0,15.009915120164507,3.888175432928921,76.00721333451055,SECTR,neutral,up,bull
3,SPY,3394.0,8.014446483932572,2.4263040544030927,34.74122703028019,STBL,neutral,up,bull
4,SCHG,3637.0,8.589853571695382,2.583423713907606,48.650223190625965,GROW,neutral,up,bull
5,QUAL,3539.0,8.356531063080672,2.6857872168257204,39.9087390345833,QUAL,neutral,up,bull
6,CASH,847.0,2.0,,,CASH,,,
