,style,symbol,longName,peratio,type,L.Year,Today,inverse_risk_score,analysis_score,market,trend,15 day,30 day,60 day,90 day,1Y,MA_60,Max60,Min60,fluctuation_60,Volume_60,volatility_60,Volume_30,volatility_30,Composite Score,category,overlap,rank_metric,overlap_rounded
0,consistent-growth,OEF,iShares S&P 100 ETF,0.03551615125391193,Exchange Traded Fund,177.88125610351562,242.17999267578125,0.0,0.5,neutral,up,0.7629457331250926,3.1035775490976825,8.38072860984842,17.77109803805463,36.14699939764752,0.9606768672096775,245.10000610351562,219.80999755859375,0.8845388516754494,436088.3333333333,0.18723444061794017,244526.66666666666,0.1873961684688363,4.586938143552785,GROW,0.001,16.988572008250063,0.0
1,consistent-growth,DGRW,WisdomTree U.S. Quality Dividend Growth Fund,0.0399590595459516,Exchange Traded Fund,59.49739074707031,74.58000183105469,0.3283023942178286,0.5,neutral,up,0.8664376899022183,3.4653896054823363,6.447202716674916,15.628101294870081,25.350037866537956,0.9666330736665866,75.33000183105469,69.02729034423828,0.8810035963777177,717723.3333333334,0.18836032035391848,727563.3333333334,0.20752731329464844,3.927723700225611,GROW,0.4404965753424658,16.53810170738297,0.44
2,aggressive-growth,IUSG,iShares Core S&P U.S. Growth ETF,0.03655550624623935,Exchange Traded Fund,84.56367492675781,114.72000122070312,0.16985843798412414,0.3,neutral,down,0.6455500069116352,3.6033574846990093,10.113936726033824,19.452022669905528,35.66108771888671,0.9535278556249714,116.37000274658203,100.94999694824219,0.8929960502312814,519561.6666666667,0.17155255690111174,531893.3333333334,0.1716575912340191,0.9083733155662932,GROW,,,
3,aggressive-growth,SMH,VanEck Semiconductor ETF,0.05299248566553263,Exchange Traded Fund,125.66255187988281,217.83999633789062,0.0,0.3,neutral,down,3.1985268364614488,13.92113531390637,25.25298909345754,46.15075135305793,73.35315340891498,0.8908143732042285,234.1699981689453,164.99000549316406,0.7639490667831258,8746406.666666666,0.199621823805369,9672513.333333334,0.22809157059886304,2.9330863385154866,NSPAG,0.001,16.244338695983277,0.0
4,aggressive-growth,SOXX,iShares Semiconductor ETF,0.09329139698456083,Exchange Traded Fund,139.32113647460938,218.75999450683594,0.01734730231870483,0.3,neutral,down,1.8969482678594902,10.02732445511104,15.662193082819737,39.16620768636849,57.01852571860403,0.9296436453738105,237.75,179.61666870117188,0.6733370500385056,4148650.0,0.13901038390094467,4780120.0,0.18098525126965198,2.068288024946066,NSPAG,,,
5,consistent-growth,SCHX,Schwab U.S. Large-Cap ETF,0.03876731115512321,Exchange Traded Fund,45.94191360473633,60.65999984741211,0.31755551597382414,0.5,neutral,up,1.0140643409782846,3.5330255836034294,7.610432848705936,18.460417703087444,32.03629341455737,0.9609764811692032,61.33000183105469,55.40999984741211,0.8868240271719764,1927270.0,0.18633419134976245,1996470.0,0.2102672730944503,4.584072994946126,NSPCG,0.001,16.987282691377068,0.0
6,consistent-growth,VV,Vanguard Large Cap Index Fund,0.03827183967222159,Exchange Traded Fund,177.5999755859375,234.75,0.0,0.5,neutral,up,0.9384516586128435,3.3685573275578826,7.562062608508886,18.161387327419902,32.179072224257496,0.9620274108735052,237.3699951171875,214.6199951171875,0.8848353794642857,279311.6666666667,0.18518575600786435,270833.3333333333,0.1999542001338969,4.481383078935979,NSPCG,,,
7,high-momentum,IDMO,Invesco S&P International Developed Momentum ETF,0.06968642329031764,Exchange Traded Fund,30.48027992248535,41.11000061035156,0.5856207673531979,0.4,close to overbought,up,3.2897934333133434,8.326745148574666,13.626313608600254,22.641649002671848,34.874091428617916,0.9297291667053302,41.34000015258789,35.88999938964844,0.9577982550387244,56838.333333333336,0.29867021722245823,61436.666666666664,0.32511926072592456,6.472756968924108,ONEHM,0.001,17.837190479667157,0.0
8,high-momentum,IMTM,iShares MSCI Intl Momentum Factor ETF,0.07236172759282924,Exchange Traded Fund,30.20235252380371,38.33000183105469,0.6175581639164991,0.4,close to overbought,up,2.734781783264757,7.941435209281435,13.921422859635218,20.890389327263133,26.910649760958993,0.9327871539022436,38.7599983215332,33.34000015258789,0.9206648273532185,166306.66666666666,0.3192666673349017,191320.0,0.33070240292057085,6.272429753173951,ONEHM,,,
9,low-beta,EMB,iShares J.P. Morgan USD Emerging Markets Bond ETF,1.0,Exchange Traded Fund,80.107177734375,88.30999755859375,0.8658646313084677,0.2,close to overbought,down,0.8913146480093112,1.2069143705821856,0.0890903454618011,8.396749118659416,10.239806289791204,0.9912100016172831,89.20999908447266,86.11190795898438,0.7094980459178521,6334645.0,0.014001360930401819,6545210.0,0.028466555613364454,1.5464351106613008,ONELB,0.001,15.620345643448895,0.0
