,,style,symbol,longName,peratio,type,L.Year,Today,risk_score,news_overall,inclination,rsi,market,m.trend,inverse_risk_score,15 day,30 day,60 day,90 day,1Y,MA_60,Max60,Min60,fluctuation_60,Volume_60,volatility_60,overlap,Composite Score,category
SMH,0,aggressive-growth,SMH,VanEck Semiconductor ETF,0.05,Exchange Traded Fund,124.41,217.84,25.67,mixed,-1,0.5,Neutral,Upward,0.04,3.2,13.92,25.25,46.15,75.1,0.89,234.17,164.99,0.76,8746406.67,0.2,,9.58,Non S&P aggressive-growth
SOXX,0,aggressive-growth,SOXX,iShares Semiconductor ETF,0.09,Exchange Traded Fund,137.86,218.76,23.97,mixed,-1,0.5,Neutral,Upward,0.04,1.9,10.03,15.66,39.17,58.68,0.93,237.75,179.62,0.67,4148650.0,0.14,,7.56,Non S&P aggressive-growth
MTUM,0,aggressive-growth,MTUM,iShares MSCI USA Momentum Factor ETF,0.05,Exchange Traded Fund,131.18,182.54,13.85,mixed,-1,0.5,Neutral,Upward,0.07,1.06,5.58,16.44,26.61,39.16,0.93,189.2,152.32,0.82,670173.33,0.22,,5.79,Non S&P aggressive-growth
IWP,0,aggressive-growth,IWP,iShares Russell Mid-Cap Growth ETF,0.03,Exchange Traded Fund,85.84,111.15,7.17,mixed,-1,0.5,Neutral,Upward,0.14,0.59,4.64,6.79,23.08,29.49,0.96,113.21,100.66,0.84,788391.67,0.14,,4.3,Non S&P aggressive-growth
SCHG,0,aggressive-growth,SCHG,Schwab U.S. Large-Cap Growth ETF,0.02,Exchange Traded Fund,61.76,90.89,7.83,mixed,-1,0.5,Neutral,Upward,0.13,0.35,2.99,9.41,20.93,47.16,0.96,92.26,80.6,0.88,1490383.33,0.16,,4.24,Non S&P aggressive-growth
IYW,0,aggressive-growth,IYW,iShares U.S. Technology ETF,0.02,Exchange Traded Fund,87.96,132.43,12.79,mixed,-1,0.5,Neutral,Upward,0.08,0.05,1.66,8.07,21.51,50.55,0.97,135.6,117.5,0.82,801761.67,0.12,,4.17,Non S&P aggressive-growth
IUSG,0,aggressive-growth,IUSG,iShares Core S&P U.S. Growth ETF,0.04,Exchange Traded Fund,83.8,114.72,7.81,mixed,-1,0.5,Neutral,Upward,0.13,0.65,3.6,10.11,19.45,36.89,0.95,116.37,100.95,0.89,519561.67,0.17,,4.1,S&P aggressive-growth
VONG,0,aggressive-growth,VONG,Vanguard Russell 1000 Growth Index Fund ETF Shares,0.03,Exchange Traded Fund,59.58,84.99,6.92,mixed,-1,0.5,Neutral,Upward,0.14,0.0,2.79,8.86,20.25,42.66,0.96,86.27,75.82,0.88,900301.67,0.16,,4.09,Non S&P aggressive-growth
QUAL,0,consistent-growth,QUAL,iShares MSCI USA Quality Factor ETF,0.04,Exchange Traded Fund,117.38,161.48,11.45,mixed,-1,0.5,Neutral,Upward,0.09,0.84,4.65,9.52,19.65,37.57,0.95,163.56,144.62,0.89,1897066.67,0.2,,4.07,Non S&P consistent-growth
IHI,0,aggressive-growth,IHI,iShares U.S. Medical Devices ETF,0.03,Exchange Traded Fund,51.26,57.1,3.51,mixed,-1,0.5,Neutral,Upward,0.28,-0.43,1.31,6.96,21.37,11.39,0.98,58.68,52.5,0.74,1201961.67,0.14,,4.06,Non S&P aggressive-growth
IWF,0,aggressive-growth,IWF,iShares Russell 1000 Growth ETF,0.03,Exchange Traded Fund,231.54,330.09,26.8,mixed,-1,0.5,Neutral,Upward,0.04,-0.04,2.71,8.8,20.18,42.56,0.96,335.15,294.43,0.88,1395733.33,0.16,,4.06,Non S&P aggressive-growth
VUG,0,aggressive-growth,VUG,Vanguard Growth Index Fund ETF Shares,0.02,Exchange Traded Fund,236.01,338.08,27.75,mixed,-1,0.5,Neutral,Upward,0.04,0.05,2.68,8.57,20.33,43.25,0.96,343.59,301.05,0.87,1006001.67,0.15,,4.05,Non S&P aggressive-growth
SPYG,0,aggressive-growth,SPYG,SPDR Portfolio S&P 500 Growth ETF,0.04,Exchange Traded Fund,52.23,71.67,4.93,mixed,-1,0.5,Neutral,Upward,0.2,0.48,3.3,10.04,19.14,37.22,0.96,72.74,63.12,0.89,1999488.33,0.17,,4.05,S&P aggressive-growth
IVW,0,aggressive-growth,IVW,iShares S&P 500 Growth ETF,0.04,Exchange Traded Fund,60.36,82.73,5.67,mixed,-1,0.5,Neutral,Upward,0.18,0.44,3.28,10.03,19.13,37.05,0.96,83.97,72.87,0.89,3711280.0,0.17,,4.05,S&P aggressive-growth
IWY,0,aggressive-growth,IWY,iShares Russell Top 200 Growth ETF,0.03,Exchange Traded Fund,131.85,191.43,16.22,mixed,-1,0.5,Neutral,Upward,0.06,-0.04,2.48,9.06,19.8,45.19,0.96,194.47,170.38,0.87,575805.0,0.16,,4.03,Non S&P aggressive-growth
VOOG,0,aggressive-growth,VOOG,Vanguard S&P 500 Growth Index Fund ETF Shares,0.04,Exchange Traded Fund,217.17,298.19,20.51,mixed,-1,0.5,Neutral,Upward,0.05,0.46,3.22,9.98,19.12,37.31,0.96,302.6,262.92,0.89,135211.67,0.17,,4.02,S&P aggressive-growth
IWO,0,aggressive-growth,IWO,iShares Russell 2000 Growth ETF,0.06,Exchange Traded Fund,214.86,262.58,15.03,mixed,-1,0.5,Neutral,Upward,0.07,0.81,5.86,4.61,22.3,22.21,0.97,269.22,239.5,0.78,608080.0,0.08,,3.94,Non S&P aggressive-growth
MGK,0,aggressive-growth,MGK,Vanguard Mega Cap Growth Index Fund,0.02,Exchange Traded Fund,193.83,282.13,24.12,mixed,-1,0.5,Neutral,Upward,0.04,-0.21,2.23,8.47,19.53,45.55,0.96,287.24,251.48,0.86,343408.33,0.14,,3.92,Non S&P aggressive-growth
VBK,0,aggressive-growth,VBK,Vanguard Small-Cap Growth Index Fund ETF Shares,0.04,Exchange Traded Fund,203.77,251.89,14.37,mixed,-1,0.5,Neutral,Upward,0.07,0.79,5.3,4.33,22.25,23.61,0.97,258.24,231.0,0.77,371711.67,0.09,,3.9,Non S&P aggressive-growth
SPHQ,0,consistent-growth,SPHQ,Invesco S&P 500 Quality ETF,0.05,Exchange Traded Fund,44.49,59.16,3.61,mixed,-1,0.5,Neutral,Upward,0.28,1.27,4.58,9.11,17.93,32.99,0.95,59.91,53.17,0.89,1062316.67,0.21,,3.8,S&P consistent-growth
FTEC,0,aggressive-growth,FTEC,Fidelity MSCI Information Technology Index ETF,0.03,Exchange Traded Fund,107.1,152.89,13.2,mixed,-1,0.5,Neutral,Upward,0.08,0.17,2.03,6.4,20.09,42.75,0.97,157.31,136.89,0.78,254601.67,0.1,,3.78,Non S&P aggressive-growth
VGT,0,aggressive-growth,VGT,Vanguard Information Technology Index Fund ETF Shares,0.03,Exchange Traded Fund,363.38,515.56,43.76,mixed,-1,0.5,Neutral,Upward,0.02,0.2,2.06,6.3,20.15,41.88,0.97,530.16,462.18,0.79,505231.67,0.1,,3.77,Non S&P aggressive-growth
