,style,symbol,longName,peratio,type,L.Year,Today,inverse_risk_score,analysis_score,market,trend,15 day,30 day,60 day,90 day,1Y,MA_60,Max60,Min60,fluctuation_60,Volume_60,volatility_60,Volume_30,volatility_30,volume_score,Composite Score,category,overlap,rank_metric,overlap_rounded
19,consistent-growth,VTI,Vanguard Total Stock Market Index Fund ETF Shares,0.04104266425992484,Exchange Traded Fund,193.06243896484375,259.07000732421875,0.0,0.4,close to overbought,up,2.5299206814200614,4.980147745244628,9.483160198775014,21.427031226901764,34.18975162299427,0.9473533272723031,259.07000732421875,232.77000427246094,1.0,3376170.0,0.221173130010172,3103643.3333333335,0.25676588856826094,69.6289706642869,9.523930193053626,NSPCG,0.001,6.113958115832176,0.0
20,consistent-growth,SCHX,Schwab U.S. Large-Cap ETF,0.03834026084336382,Exchange Traded Fund,45.63510513305664,61.72999954223633,0.31015035169608324,0.4,close to overbought,up,2.6216328938954425,4.962449448935999,10.133112697083508,21.384865392459865,35.2686695083804,0.9456886793383664,61.72999954223633,55.232975006103516,1.0,1923323.3333333333,0.24002391724635824,2000810.0,0.261335022653212,66.62160644764522,9.472150154920342,NSPCG,0.9223602484472052,5.714345993573323,0.92
21,consistent-growth,ESGU,iShares ESG Aware MSCI USA ETF,0.03790665932439947,Exchange Traded Fund,85.66958618164062,114.70999908447266,0.2081200789824945,0.4,close to overbought,up,2.60632129297043,4.652858722490921,9.749332920670572,20.906668798210017,33.89815942528215,0.9474268545954626,114.70999908447266,102.91000366210938,1.0,937851.6666666666,0.2267614723304067,1007940.0,0.24015861639566533,62.70253281750184,9.111140139932397,NSPCG,0.8040426726558114,5.545067014897114,0.8
22,consistent-growth,IWB,iShares Russell 1000 ETF,0.038936870794769284,Exchange Traded Fund,213.2622528076172,287.20001220703125,0.0,0.4,close to overbought,up,2.613536519059665,4.867279120569563,9.878340669476584,21.238889942409088,34.66987637334627,0.9464617692614753,287.20001220703125,257.4599914550781,1.0,781423.3333333334,0.23253630103134945,898110.0,0.25964453124811215,62.32204279255647,9.189511036247117,NSPCG,0.9386343993085567,5.538252862024847,0.93
23,consistent-growth,SCHB,Schwab U.S. Broad Market ETF,0.04028809208890937,Exchange Traded Fund,45.133914947509766,60.619998931884766,0.33922351721027005,0.4,close to overbought,up,2.4902612516127407,5.023987194492892,9.58530564327635,21.52419901064096,34.31141305243549,0.9470514692783142,60.619998931884766,54.440364837646484,1.0,879036.6666666666,0.2246883740184143,769923.3333333334,0.2629764404178211,62.20589424607862,9.173471779932182,NSPCG,0.970873786407767,5.515733553396202,0.97
24,consistent-growth,MOAT,VanEck Morningstar Wide Moat ETF,0.03542601411570788,Exchange Traded Fund,69.62461853027344,88.68000030517578,0.2365181726013029,0.4,close to overbought,up,2.1807913052833685,4.5878043963272015,4.921916501815953,21.141763648460937,27.36874136928576,0.9632461289870676,88.68000030517578,82.58000183105469,1.0,1006578.3333333334,0.11990396062011377,900476.6666666666,0.26299972999599164,62.99866182647935,8.502825218095728,NSPCG,0.043444124574718655,5.484317481027549,0.04
25,consistent-growth,ACWI,iShares MSCI ACWI ETF,0.05004911569969189,Exchange Traded Fund,85.91759490966797,109.73999786376953,0.38058061908378826,0.4,close to overbought,up,2.836420294329064,5.0445071135138795,8.460167555619062,18.81521320726975,27.72703656235717,0.9500045734191119,109.73999786376953,99.79000091552734,1.0,4492593.333333333,0.21446655004991788,3193200.0,0.2655567826356772,70.33251012475833,8.83734737488903,NSPCG,0.9637396242900831,5.316912575217384,0.96
26,consistent-growth,QUAL,iShares MSCI USA Quality Factor ETF,0.04111430116973887,Exchange Traded Fund,117.72138977050781,164.94000244140625,0.11483270827399039,0.5,neutral,up,2.8499809300125394,5.534589242343341,12.50746527774164,22.08754583715039,40.1104784465668,0.937750056092593,164.94000244140625,144.6199951171875,1.0,1867146.6666666667,0.25452063448223594,1780423.3333333333,0.2541221154952188,65.73893609488005,9.947103164654424,QUAL,0.001,6.367861898792654,0.0
27,consistent-growth,SPHQ,Invesco S&P 500 Quality ETF,0.04501736544872184,Exchange Traded Fund,44.65675354003906,60.119998931884766,0.3962031966443022,0.4,close to overbought,up,3.1364560114081055,5.451931678809846,11.741150382243136,20.86073324896652,34.62689104343741,0.9404127990667401,60.119998931884766,52.985755920410156,1.0,1069340.0,0.26296636081878016,962283.3333333334,0.25793759015145246,62.4271947325057,9.3150817871702,QUAL,0.5343538006609844,5.775307552037726,0.53
28,aggressive-growth,SMH,VanEck Semiconductor ETF,0.05227168290826262,Exchange Traded Fund,125.25003814697266,221.2899932861328,0.0,0.5,neutral,up,4.097028682667925,12.54131505413793,27.706599056470022,47.27696074374227,76.6785835437939,0.8875540652491095,234.1699981689453,164.99000549316406,0.8138189325463521,8857285.0,0.21841485103798372,9787680.0,0.214569938112506,74.7182304394436,16.912945618588356,SECTR,0.001,10.547367371153014,0.0
