,symbol,investment_amount,rank_metric,5_day,251_day,category,situation,trend,forecast
0,IYW,4483.0,7.74685952040863,2.8613014814007793,51.98506122409348,AGRSV,neutral,up,bull
1,SMH,7983.0,13.795637458303416,3.888175432928921,76.00721333451055,SECTR,neutral,up,bull
2,SPY,3877.0,6.700500338654536,2.4263040544030927,34.74122703028019,STBL,neutral,up,bull
3,SCHG,4406.0,7.613158929015619,2.583423713907606,48.650223190625965,GROW,neutral,up,bull
4,QUAL,4251.0,7.3456426619376165,2.6857872168257204,39.9087390345833,QUAL,neutral,up,bull
