,style,symbol,longName,peratio,type,L.Year,Today,inverse_risk_score,analysis_score,market,trend,5_day,10_day,21_day,42_day,63_day,126_day,189_day,251_day,MA_60,Max60,Min60,fluctuation_60,volatility_30,volatility_60,volatility_90,volume_score,Composite Score,category,overlap,rank_metric,overlap_rounded
0,aggressive-growth,IYW,iShares U.S. Technology ETF,26.8,Exchange Traded Fund,89.62671661376953,136.13999938964844,0.3731343283582089,0.5,neutral,up,2.8014852518720046,1.9698936342011752,2.3994001614367293,5.45313164469409,12.558910975340055,30.44625217098002,27.27205812129992,51.8966715876915,0.949396456457998,136.13999938964844,117.5,1.0,0.08923500426509108,0.14723912560678007,0.21227957068102618,61.83776946285651,11.560637444196745,AGRSV,0.001,7.335982466518047,0.0
1,aggressive-growth,QQQ,Invesco QQQ Trust,22.7,Exchange Traded Fund,307.6939392089844,445.8699951171875,0.4405286343612335,0.5,neutral,up,2.8898271574160828,1.6945863417139921,1.9151180526519695,5.426363525369837,10.82029177135364,25.07311206841793,22.41159317902606,44.906980054083725,0.9547724951611657,445.8699951171875,395.7566833496094,1.0,0.10812375267994408,0.15388604130643277,0.22829129184756908,84.70404700323395,10.66280857933247,AGRSV,0.6838248436103664,6.524155210155335,0.68
2,aggressive-growth,FTEC,Fidelity MSCI Information Technology Index ETF,26.36,Exchange Traded Fund,108.93740844726562,156.77000427246094,0.37936267071320184,0.5,neutral,up,2.5377754583699734,1.3089700642874131,2.6200267525176373,4.644525057658955,10.920967313222036,28.393175019209156,23.182958918487355,43.908329110243244,0.9536204007515743,157.310546875,136.89163208007812,0.9735273589234285,0.09323422277015064,0.12924309411794113,0.2026338069628964,55.44511641847984,10.11869367928456,AGRSV,0.9032973532456011,6.109897266272495,0.9
3,aggressive-growth,VGT,Vanguard Information Technology Index Fund ETF Shares,27.4,Exchange Traded Fund,369.2674865722656,528.7000122070312,0.3649635036496351,0.5,neutral,up,2.5486877784663906,1.3825810864396124,2.6761496454254625,4.682709629874731,10.787479748259718,28.178348326058934,22.518804678650582,43.175348881836825,0.9534943963370749,530.1599731445312,462.17999267578125,0.9785236634751442,0.09332935159229831,0.1285838040299726,0.203275918675743,60.024502038893836,10.112752851773225,AGRSV,0.8958114397237654,6.1093271351744285,0.89
4,aggressive-growth,ONEQ,Fidelity Nasdaq Composite Index ETF,22.96,Exchange Traded Fund,45.87724304199219,64.55000305175781,0.4355400696864111,0.5,neutral,up,2.7375476214819847,1.8810924171920156,2.397352702183595,6.355151394627144,11.02189122523742,24.482916202836858,21.35342948627844,40.70157396483948,0.9505661619171373,64.55000305175781,57.09922409057617,1.0,0.13780999153751494,0.15548576293873978,0.23602720244143297,55.96884157343044,9.602144502393502,AGRSV,0.7452484742807325,5.8631873117238085,0.74
5,consistent-growth,VV,Vanguard Large Cap Index Fund,20.3,Exchange Traded Fund,177.37405395507812,240.49000549316406,0.4926108374384236,0.4,close to overbought,up,2.4451567596013044,2.3231105570461095,3.1304957225136985,7.867238746360596,11.876627271081082,22.208324532583244,21.4626502469751,35.583531035531685,0.9449893732869236,240.49000549316406,214.6199951171875,1.0,0.22950122513879004,0.24265896300225007,0.3201028755166089,55.60504361628939,9.269148955776927,CAPS,0.001,5.961089373466157,0.0
6,consistent-growth,GDX,VanEck Gold Miners ETF,22.43,Exchange Traded Fund,30.804183959960938,29.959999084472656,0.4458314757021846,0.6,close to overbought,up,0.234191021256632,1.079621124877541,14.525991052085056,6.128230854725976,-2.6640727221576217,5.333630269399739,2.0165913606201658,-2.740487709674591,0.9496996297180035,31.979999542236328,25.780000686645508,0.6741934144161743,0.14768146922909842,-0.032938108652200496,0.06297413476973686,80.28129300754834,3.9806923271217567,COMD,0.001,2.788015396273054,0.0
7,aggressive-growth,SPYG,SPDR Portfolio S&P 500 Growth ETF,19.67,Exchange Traded Fund,52.95241928100586,73.56999969482422,0.5083884087442806,0.5,neutral,up,2.8030915872817546,2.6455455055137445,2.8461376839648853,9.057096782256124,14.604091010435273,24.09994255708916,22.97606409315555,38.93604993646424,0.9365364061012895,73.56999969482422,63.026641845703125,1.0,0.15045604360224557,0.2119070445667303,0.2573340756104215,66.82662025197897,10.283229442517044,EXCLD,0.001,6.569537665510227,0.0
8,consistent-growth,SPLG,SPDR Portfolio S&P 500 ETF,17.86,Exchange Traded Fund,45.54828643798828,61.41999816894531,0.5599104143337066,0.4,close to overbought,up,2.4725523881253686,2.353420943475089,3.2623863486667632,8.079608008057866,12.008346876787426,21.94252717389246,20.998969761612802,34.84590304525632,0.9440616521428264,61.41999816894531,54.78536605834961,1.0,0.24277892434415732,0.2527786838423812,0.32335050053852965,72.39166513316829,9.609427441541836,EXCLD,0.8659247482776896,5.819286565614026,0.86
9,aggressive-growth,SCHG,Schwab U.S. Large-Cap Growth ETF,25.77,Exchange Traded Fund,62.65715026855469,93.13999938964844,0.38804811796662786,0.5,neutral,up,2.583423713907606,2.3357150383560494,2.515749518892411,8.365957062281696,13.780693200296417,28.333564251584136,26.375443174173128,48.65023224075987,0.9410920087730119,93.16000366210938,80.51522064208984,0.9984179821489015,0.13648602436137328,0.19756731896445195,0.2556880249215609,64.40852102004155,11.429515239298272,GROW,0.001,7.257309143578963,0.0
