,,longName,L.Year,Today,1Y,30 day,7 day,MA_15,Max Up_15,Max Down_15,Avg Volume_15,vs_30,Composite Score,Trend,Analysis,Portfolio,Amount
ARKK,0,ARK Innovation ETF,36.98,50.25,35.88,34.65,32.57,0.99,1.03,0.94,12479160.0,0.11,13.87,Uptrend,Bear,,
IXP,0,iShares Global Comm Services ETF,58.14,82.22,41.42,30.95,36.22,0.99,1.0,0.98,13246.67,0.14,13.86,Uptrend,Bear,,
KCE,0,SPDR S&P Capital Markets ETF,82.53,107.71,30.5,30.36,36.15,0.97,1.0,0.95,19120.0,0.24,13.74,Uptrend,Bull,,
PSCI,0,Invesco S&P SmallCap Industrials ETF,96.45,121.9,26.39,32.12,33.68,0.98,0.99,0.97,8126.67,0.22,13.6,Uptrend,Bull,,
IYT,0,iShares Transportation Average ETF,54.21,70.6,30.23,28.85,36.49,0.99,1.0,0.97,487926.67,0.24,13.51,Uptrend,Bull,,
ATMP,0,Barclays ETN+ Select MLP ETN,17.87,23.05,28.99,29.06,36.17,0.97,1.0,0.92,18440.0,0.32,13.5,Uptrend,Bear,,
FINX,0,Global X FinTech ETF,20.45,26.76,30.86,29.72,34.06,0.97,1.0,0.93,138666.67,0.22,13.19,Uptrend,Bear,,
IYF,0,iShares U.S. Financials ETF,72.79,91.95,26.32,27.02,35.32,0.98,1.0,0.96,91853.33,0.29,12.92,Uptrend,Bear,,
FXR,0,First Trust Industrials/Producer Durables AlphaDEX Fund,55.57,70.36,26.62,28.43,33.6,0.97,0.99,0.94,66166.67,0.36,12.87,Uptrend,Bull,,
FNCL,0,Fidelity MSCI Financials Index ETF,46.35,57.3,23.63,25.72,32.99,0.98,1.0,0.96,73953.33,0.27,12.19,Uptrend,Bear,,
VFH,0,Vanguard Financials Index Fund ETF Shares,79.78,98.69,23.7,25.66,33.03,0.98,1.0,0.96,504760.0,0.27,12.19,Uptrend,Bear,,
KIE,0,SPDR S&P Insurance ETF,40.16,50.14,24.84,26.36,32.12,0.98,1.0,0.96,802386.67,0.28,12.15,Uptrend,Bear,,
FIDU,0,Fidelity MSCI Industrials Index ETF,52.13,65.85,26.32,26.8,30.68,0.98,0.99,0.96,79866.67,0.39,11.96,Uptrend,Bull,,
VIS,0,Vanguard Industrials Index Fund ETF Shares,188.11,236.78,25.87,26.4,30.54,0.98,1.0,0.96,86306.67,0.39,11.86,Uptrend,Bull,,
FITE,0,SPDR S&P Kensho Future Security ETF,45.0,57.67,28.15,25.57,30.72,0.98,1.0,0.96,4993.33,0.13,11.68,Uptrend,Bull,,
XLF,0,Financial Select Sector SPDR Fund,32.91,40.55,23.2,23.77,31.91,0.99,1.0,0.96,44742046.67,0.29,11.59,Uptrend,Bear,,
RSPN,0,Invesco S&P 500 Equal Weight Industrials ETF,37.3,46.43,24.47,25.82,29.74,0.98,0.99,0.96,64060.0,0.38,11.58,Uptrend,Bull,,
SBIO,0,ALPS Medical Breakthroughs ETF,28.52,37.0,29.75,21.91,33.4,0.99,1.05,0.94,12606.67,0.21,11.51,Uptrend,Bear,,
KBE,0,SPDR S&P Bank ETF,41.29,45.42,9.99,26.32,29.09,0.98,1.0,0.96,3660193.33,-0.02,11.47,Uptrend,Bear,,
FXO,0,First Trust Financials AlphaDEX Fund,39.36,45.5,15.59,22.62,30.94,0.98,1.0,0.96,68160.0,0.12,11.13,Uptrend,Bull,,
MLPX,0,Global X MLP & Energy Infrastructure ETF,37.95,46.98,23.8,23.25,29.82,0.97,1.0,0.92,106060.0,0.27,11.06,Uptrend,Bull,,
PPA,0,Invesco Aerospace & Defense ETF,79.4,99.93,25.86,23.79,28.82,0.97,1.0,0.95,136193.33,0.6,11.03,Uptrend,Bull,,
KBWB,0,Invesco KBW Bank ETF,47.65,51.07,7.19,23.62,29.44,0.97,1.0,0.94,817980.0,0.12,11.03,Uptrend,Bear,,
BIZD,0,VanEck BDC Income ETF,13.17,16.36,24.2,23.48,29.46,1.0,1.0,0.98,581020.0,-0.01,10.98,Uptrend,Bear,,
IYJ,0,iShares U.S. Industrials ETF,98.45,122.66,24.59,23.75,28.67,0.98,0.99,0.96,100373.33,0.36,10.95,Uptrend,Bull,,
MLPA,0,Global X MLP ETF,39.17,47.8,22.04,22.88,29.11,0.97,1.0,0.94,94513.33,0.36,10.86,Uptrend,Bull,,
