,,longName,L.Year,Today,1Y,30 day,7 day,MA_15,Max Up_15,Max Down_15,Avg Volume_15,vs_30,Composite Score,Trend,Analysis,Portfolio,Amount
XLU,0,Utilities Select Sector SPDR Fund,63.34,63.59,0.4,-6.31,-2.64,0.97,0.99,0.95,15374866.67,0.18,-1.36,Uptrend,Bull,,
VPU,0,Vanguard Utilities Index Fund ETF Shares,138.08,137.99,-0.07,-6.34,-2.95,0.97,0.99,0.95,218426.67,0.19,-1.43,Uptrend,Bull,,
FUTY,0,Fidelity MSCI Utilities Index ETF,41.16,41.11,-0.12,-6.4,-2.93,0.97,0.99,0.95,207133.33,0.19,-1.44,Uptrend,Bull,,
RNEW,0,VanEck Green Infrastructure ETF,25.14,23.18,-7.81,-6.05,-3.35,0.98,1.01,0.96,233.33,0.14,-1.46,Uptrend,Bear,,
GDXJ,0,VanEck Junior Gold Miners ETF,32.15,36.08,12.21,-9.23,-3.31,0.91,0.98,0.86,6938893.33,0.11,-2.11,Uptrend,Bull,,
PSCU,0,Invesco S&P SmallCap Utilities & Communication Services ETF,54.15,51.22,-5.41,-7.16,-5.57,1.0,1.04,0.99,2380.0,-0.01,-2.14,Downtrend,Bear,,
GDX,0,VanEck Gold Miners ETF,26.25,29.61,12.8,-10.45,-3.26,0.91,0.98,0.87,27162606.67,0.11,-2.34,Uptrend,Bull,,
XHE,0,SPDR S&P Health Care Equipment ETF,90.38,86.61,-4.17,-12.72,-4.78,0.99,1.0,0.97,28933.33,0.11,-3.08,Uptrend,Bear,,
KWEB,0,KraneShares CSI China Internet ETF,27.63,24.91,-9.86,-10.5,-11.74,1.02,1.05,0.99,19354346.67,0.01,-4.04,Downtrend,Bear,,
MOO,0,VanEck Agribusiness ETF,84.85,72.85,-14.15,-12.76,-10.58,0.99,1.0,0.98,57633.33,0.08,-4.25,Uptrend,Bull,,
SIL,0,Global X Silver Miners ETF,25.45,25.4,-0.19,-15.7,-12.53,0.93,0.98,0.89,402986.67,0.03,-5.26,Uptrend,Bull,,
SILJ,0,Amplify Junior Silver Miners ETF,9.33,9.12,-2.25,-17.02,-13.55,0.9,0.98,0.86,1504980.0,0.04,-5.73,Uptrend,Bull,,
LIT,0,Global X Lithium & Battery Tech ETF,60.98,44.76,-26.6,-24.04,-23.91,0.98,1.05,0.93,552000.0,0.03,-9.18,Uptrend,Bear,,
ICLN,0,iShares Global Clean Energy ETF,19.18,14.27,-25.59,-26.86,-22.1,0.98,1.03,0.96,3500773.33,0.05,-9.38,Uptrend,Bear,,
QCLN,0,First Trust NASDAQ Clean Edge Green Energy Index Fund,51.53,35.45,-31.21,-25.31,-26.43,0.99,1.06,0.95,222066.67,0.01,-9.94,Uptrend,Bear,,
PBW,0,Invesco WilderHill Clean Energy ETF,39.57,23.41,-40.84,-34.41,-34.31,1.02,1.1,0.96,254326.67,-0.02,-13.33,Downtrend,Bear,,
TAN,0,Invesco Solar ETF,76.95,44.97,-41.56,-42.08,-36.16,0.98,1.05,0.93,1029613.33,0.04,-15.24,Uptrend,Bear,,
