,style,symbol,longName,peratio,type,L.Year,Today,inverse_risk_score,analysis_score,market,trend,15 day,30 day,60 day,90 day,1Y,MA_60,Max60,Min60,fluctuation_60,Volume_60,volatility_60,Volume_30,volatility_30,volume_score,Composite Score,category,overlap,rank_metric,overlap_rounded
0,consistent-growth,OEF,iShares S&P 100 ETF,0.035303635091742676,Exchange Traded Fund,180.40760803222656,245.6699981689453,0.0,0.4,close to overbought,up,2.379868376919182,4.527081412973093,10.38867436537871,18.63995011592653,36.17496559516537,0.9501485796672002,245.6699981689453,219.80999755859375,1.0,436466.6666666667,0.24211095340914787,230706.66666666666,0.19643225834900443,57.340993168767596,8.618732168744728,EXCLUD,0.001,5.570839301246837,0.0
1,aggressive-growth,SCHG,Schwab U.S. Large-Cap Growth ETF,0.024250268983983567,Exchange Traded Fund,63.02693557739258,92.22000122070312,0.0,0.5,neutral,up,1.9633782344979225,4.486742565857121,11.248992313186898,21.075670365776446,46.318396056973995,0.947751794008005,92.26000213623047,80.5999984741211,0.9965693908264084,1476560.0,0.19981735400753384,1491603.3333333333,0.1433936547764126,64.38300025172266,9.82781646826118,GROW,0.001,6.296289880956708,0.0
2,aggressive-growth,IWF,iShares Russell 1000 Growth ETF,0.027026267369782035,Exchange Traded Fund,236.20907592773438,335.1300048828125,0.0,0.5,neutral,up,1.7425063509190708,4.249231222272335,10.77212779051389,20.366036810181757,41.878547031504375,0.9505634531525937,335.1499938964844,294.42999267578125,0.9995091106809272,1389873.3333333333,0.1986610142080517,1220510.0,0.1445656231740127,64.9124133480772,9.46902750282405,GROW,0.9758494337108594,5.691076728210086,0.97
3,aggressive-growth,IVW,iShares S&P 500 Growth ETF,0.035364284131228794,Exchange Traded Fund,61.7883415222168,83.98999786376953,0.213155728397639,0.5,neutral,up,2.1965989381994055,4.856428793697453,11.986663818359375,20.119707947959615,35.93178873974121,0.9442969631000055,83.98999786376953,72.87000274658203,1.0,3763640.0,0.20827621160833767,4657296.666666667,0.14849806071666308,68.0513238527353,9.423003906367732,GROW,0.9259549154664998,5.6834203776340395,0.92
4,aggressive-growth,IWY,iShares Russell Top 200 Growth ETF,0.025921668915846678,Exchange Traded Fund,134.18788146972656,194.52000427246094,0.0,0.5,neutral,up,1.866903095608087,4.127191699924364,11.160636702797182,20.027622787849023,44.9609324940014,0.9496332658538006,194.52000427246094,170.3800048828125,1.0,578460.0,0.19941543896986036,509740.0,0.12971076914820362,58.14465538615756,9.272343971408839,GROW,0.8988959907030795,5.603847986564071,0.89
5,aggressive-growth,MGK,Vanguard Mega Cap Growth Index Fund,0.023275254203598193,Exchange Traded Fund,197.161865234375,286.5899963378906,0.0,0.5,neutral,up,1.5065343226244943,3.8934167107992397,10.490396693211398,19.691831465250328,45.35772219298517,0.9520563834953274,287.239990234375,251.47999572753906,0.9818234341070684,341701.6666666667,0.18429070950318538,320510.0,0.12491129620347773,57.39348864178092,9.110181437071954,GROW,0.818207600680658,5.538825821970909,0.81
6,aggressive-growth,IUSG,iShares Core S&P U.S. Growth ETF,0.03634514923827109,Exchange Traded Fund,85.83790588378906,116.43000030517578,0.1637563646676819,0.5,neutral,up,2.3194761714476204,5.1476535495700135,12.059671410279973,20.55681215282287,35.63937645776631,0.9431360754026805,116.43000030517578,100.94999694824219,1.0,527430.0,0.21268640497790864,554293.3333333334,0.1616722914452526,59.28189100214465,9.058661793394599,GROW,0.9605960264900661,5.450958665440732,0.96
7,aggressive-growth,VOOG,Vanguard S&P 500 Growth Index Fund ETF Shares,0.03516708956850227,Exchange Traded Fund,222.612060546875,302.8399963378906,0.0,0.5,neutral,up,2.151075265392803,4.799804498251077,11.95563635411853,20.16398600892645,36.03934826977723,0.9444519759789453,302.8399963378906,262.9200134277344,1.0,135095.0,0.20757657307907237,141473.33333333334,0.14885238950388585,51.590644872021386,8.603434809213514,GROW,0.916627561395276,5.195409860969997,0.91
8,high-momentum,IDMO,Invesco S&P International Developed Momentum ETF,0.06923183779755801,Exchange Traded Fund,30.51854705810547,41.38999938964844,0.5823775837684365,0.2,overbought,up,5.281187575110714,10.07742248874029,14.395960746560549,25.852845008943554,35.6224439874034,0.9210512706134052,41.38999938964844,35.89348220825195,1.0,58618.333333333336,0.33459298589316794,64380.0,0.42799387911797643,43.434046155938965,9.606375678576578,INTL,0.001,6.163425407145947,0.0
9,high-momentum,IMTM,iShares MSCI Intl Momentum Factor ETF,0.07198776208044633,Exchange Traded Fund,30.587133407592773,38.70000076293945,0.6145235810148535,0.2,overbought,up,4.102028460069959,8.738411343123925,14.192981587247273,22.86262813489008,26.523791056970342,0.9282678541053452,38.7599983215332,33.709999084472656,0.9881192935330674,173623.33333333334,0.3567382668298043,208726.66666666666,0.431942830312444,54.67273042465152,9.081576103424876,INTL,0.5619757688723206,5.624155354505998,0.56
