,symbol,longName,rank_metric,15 day,1Y,main_category,category,investment_amount,Max60,Min60
0,QQQ,Invesco QQQ Trust,6.68283737695855,1.207405397732145,45.934719714951974,EXPERIMENTAL,AGRSV,2453.0,445.02154541015625,395.7566833496094
1,MTUM,iShares MSCI USA Momentum Factor ETF,7.034610208691251,2.464450267571263,40.46887835413005,EXPERIMENTAL,MTM,2583.0,189.1999969482422,152.32000732421875
2,IDMO,Invesco S&P International Developed Momentum ETF,6.429323811195063,5.7813126281726746,37.39275980557143,EXPERIMENTAL,INTL,2360.0,41.849998474121094,35.89348220825195
3,SPY,SPDR S&P 500 ETF Trust,6.643097744568086,2.712400088239148,34.66046039506672,REGULAR,STBL,2439.0,520.47998046875,465.8326416015625
4,SCHG,Schwab U.S. Large-Cap Growth ETF,6.699852698362064,2.4475365569636978,50.04029731666195,REGULAR,GROW,2460.0,93.16000366210938,80.51522064208984
5,QUAL,iShares MSCI USA Quality Factor ETF,6.367861898792654,2.8499809300125394,40.1104784465668,REGULAR,QUAL,2338.0,164.94000244140625,144.6199951171875
6,CASH,Unallocated Cash,1.0,,,REGULAR,CASH,367.0,,
